kata,jumlah
jakarta,19077
prabowo,14023
presiden,9195
kpk,8349
indonesia,7269
saya,7032
kita,5391
sudah,5285
negara,5193
mengatakan,5060
bahwa,5027
jokowi,5014
sini,4859
menteri,4789
berita,4582
sedikit,4493
kepada,4487
pramono,4476
iklan,4405
baca,4392
klik,4301
kompascom,4247
satu,3590
partai,3586
hari,3514
gubernur,3508
pemerintah,3410
korupsi,3399
rp,3269
ketua,3248
masyarakat,3142
kota,3086
kepala,3069
warga,2999
harus,2939
israel,2788
hanya,2742
kasus,2738
masih,2716
program,2702
subianto,2693
ridwan,2566
dilakukan,2562
wakil,2539
baru,2519
terkait,2496
umum,2491
rumah,2478
seperti,2451
hal,2447
